SMILES,PUBCHEM_COMPOUND_ID_TYPE,PUBCHEM_TOTAL_CHARGE,PUBCHEM_SUBSTANCE_ID,PUBCHEM_SUBSTANCE_VERSION,PUBCHEM_EXT_DATASOURCE_NAME,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_SUBSTANCE_COMMENT,PUBCHEM_SUBSTANCE_SYNONYM,PUBCHEM_XREF_EXT_ID,PUBCHEM_EXT_DATASOURCE_URL,PUBCHEM_CID_ASSOCIATIONS,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
CCCCCCCCCCCCCCCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,0,0,223704668,1,MLSMR,MLS006011476,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Vitas-M Laboratory
SUPPLIER_STRUCTURE_ID: STK177342
CLASS: DC NP","MLS006011476
SMR003493464",MLS006011476,http://mlsmr.evotec.com/MLSMR_HomePage/,10736  1,0.7037037037037037,561.5470000000004,1,6,0,6,6,0.0,1.0,1.0,0.16216216216216217,1,2
C=CC1C[NH+]2CCC1CC2C(O)c1ccnc2ccccc12,0,0,223704495,1,MLSMR,MLS006011421,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Vitas-M Laboratory
SUPPLIER_STRUCTURE_ID: STL163586
CLASS: DC NP","MLS006011421
SMR001488502",MLS006011421,http://mlsmr.evotec.com/MLSMR_HomePage/,2757  1,0.42105263157894735,295.406,5,30,10,20,18,1.1111111111111112,2.0,1.6666666666666667,0.8181818181818182,2,5
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,0,0,223704467,1,MLSMR,MLS006010718,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Sigma Chemical Company
SUPPLIER_STRUCTURE_ID: M6760
CLASS: DC SS NP","MLS006010718
Myricetin
SMR001233193",MLS006010718,http://mlsmr.evotec.com/MLSMR_HomePage/,5281672  1,0.0,318.2370000000001,3,18,1,17,16,0.125,1.5,1.125,0.6956521739130435,2,0
O=c1ccc2ccc(O)c(O)c2o1,0,0,223704463,1,MLSMR,MLS006012039,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Chem Div
SUPPLIER_STRUCTURE_ID: 0099-0264
CLASS: DC SS NP","7,8-Dihydroxycoumarin
MLS006012039
SMR001230713",MLS006012039,http://mlsmr.evotec.com/MLSMR_HomePage/,5280569  1,0.0,178.143,2,12,1,11,10,0.2,2.0,1.2,0.7692307692307693,1,0
OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,0,0,223704458,1,MLSMR,MLS006012040,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Chem Div
SUPPLIER_STRUCTURE_ID: N034-0001
CLASS: DC NP","MLS006012040
SMR001215811
arbutin",MLS006012040,http://mlsmr.evotec.com/MLSMR_HomePage/,346  1,0.5,272.253,2,12,0,12,12,0.0,1.0,1.0,0.631578947368421,2,5
OC1COC(O)C(O)C1O,0,0,223704455,1,MLSMR,MLS006011474,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Vitas-M Laboratory
SUPPLIER_STRUCTURE_ID: STK366962
CLASS: DC SS NP","DL-Arabinose
MLS006011474
SMR000857162",MLS006011474,http://mlsmr.evotec.com/MLSMR_HomePage/,229  1,1.0,150.12999999999997,1,6,0,6,6,0.0,1.0,1.0,0.6,1,4
O=C1C=C2C=CC3CC2(O1)C1CCCCN31,0,0,223704429,1,MLSMR,MLS006011461,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Vitas-M Laboratory
SUPPLIER_STRUCTURE_ID: STK256368
CLASS: DC NP","MLS006011461
SMR000542846",MLS006011461,http://mlsmr.evotec.com/MLSMR_HomePage/,442872  1,0.6153846153846154,217.26799999999994,4,22,4,18,15,0.5333333333333333,4.0,1.4666666666666666,0.9375,1,3
C[NH2+]CC(O)C(O)C(O)C(O)CO,0,0,223704384,1,MLSMR,MLS006011915,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Vitas-M Laboratory
SUPPLIER_STRUCTURE_ID: STK801441
CLASS: DC NP","MLS006011915
SMR000387082
n-methyl-d-glucamine, 99%",MLS006011915,http://mlsmr.evotec.com/MLSMR_HomePage/,4049  1,1.0,196.22299999999998,0,,,,,,,,,,4
Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,0,0,223704382,1,MLSMR,MLS006011712,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Princeton BioMolecular Research,Inc.
SUPPLIER_STRUCTURE_ID: OSSL_296617
CLASS: DC SS NP","Emodin
MLS006011712
SMR000326798",MLS006011712,http://mlsmr.evotec.com/MLSMR_HomePage/,3220  1,0.06666666666666667,270.24,3,18,2,16,14,0.2857142857142857,3.0,1.2857142857142858,0.7,1,0
Nc1nc(OCc2ccccc2)c2nc[nH]c2n1,0,0,223704381,1,MLSMR,MLS006010145,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: AK Scientific
SUPPLIER_STRUCTURE_ID: H350
CLASS: DC SS NP","MLS006010145
O6-Benzylguanine
SMR000326791",MLS006010145,http://mlsmr.evotec.com/MLSMR_HomePage/,4578  1,0.08333333333333333,241.25400000000002,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.8333333333333334,2,0
O=C(CCc1ccc(O)cc1)c1c([O-])cc(O)cc1O,0,0,223704380,1,MLSMR,MLS006012024,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Maybridge
SUPPLIER_STRUCTURE_ID: RJC02792
CLASS: DC NP NC","MLS006012024
Phloretin
SMR000326783",MLS006012024,http://mlsmr.evotec.com/MLSMR_HomePage/,4788  1,0.13333333333333333,273.26399999999995,2,12,0,12,12,0.0,1.0,1.0,0.6,2,0
