SMILES,Molecular weight,Num chiral centers,ChiralCenterCount,Gram-negative,canvasUID,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,323.135,2,2,1,508,0.36363636363636365,323.13200000000006,1,6,0,6,6,0.0,1.0,1.0,0.3,1,2
NC(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(Cl)CCC12)c1ccccc1,349.777,3,3,1,509,0.3125,348.76600000000013,3,16,1,15,14,0.14285714285714285,1.5,1.1428571428571428,0.5833333333333334,2,3
CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC3C[NH2+]C(C(=O)Nc4cccc(C(=O)[O-])c4)C3)C(C)C12,475.524,6,4,1,510,0.45454545454545453,474.51500000000027,4,20,1,19,18,0.1111111111111111,1.3333333333333333,1.1111111111111112,0.5454545454545454,3,6
CC(O)C1C(=O)N2C(C(=O)[O-])=C(SCCNC=[NH2+])CC12,299.351,3,3,1,511,0.5833333333333334,299.352,2,9,1,8,7,0.2857142857142857,2.0,1.2857142857142858,0.35,1,3
CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC3CCC(C(=O)N(C)C)N3)C(C)C12,383.47,6,6,1,512,0.7058823529411765,382.46200000000016,3,14,1,13,12,0.16666666666666666,1.5,1.1666666666666667,0.46153846153846156,2,6
CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC3CC(C(=O)N4CCC(NC(=O)CNC(N)=[NH2+])C4)[NH+](C)C3)C(C)C12,537.643,7,7,1,513,0.6956521739130435,538.6510000000002,4,19,1,18,17,0.11764705882352941,1.3333333333333333,1.1176470588235294,0.4594594594594595,3,8
NC(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(Cl)CSC12)c1ccccc1,367.814,3,3,1,514,0.26666666666666666,366.80600000000004,3,16,1,15,14,0.14285714285714285,1.5,1.1428571428571428,0.5833333333333334,2,3
CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,363.395,3,3,1,515,0.3125,362.38700000000006,3,16,1,15,14,0.14285714285714285,1.5,1.1428571428571428,0.56,2,3
Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,462.509,3,3,1,516,0.3333333333333333,461.5050000000001,4,21,1,20,19,0.10526315789473684,1.3333333333333333,1.105263157894737,0.6129032258064516,3,3
Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,454.511,2,2,1,517,0.42857142857142855,453.51100000000014,4,20,1,19,18,0.1111111111111111,1.3333333333333333,1.1111111111111112,0.6206896551724138,3,2
C=CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(N=O)c3csc(N)n3)C2SC1,395.418,2,2,1,518,0.2857142857142857,394.4140000000001,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.5,2,3
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(/C=C\c3scnc3C)CSC12)c1csc(N)n1,506.585,2,2,1,519,0.2631578947368421,505.58300000000025,4,20,1,19,18,0.1111111111111111,1.3333333333333333,1.1111111111111112,0.5454545454545454,3,2
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CSC12)c1csc(N)n1,480.568,2,2,1,520,0.5263157894736842,480.5720000000002,4,20,1,19,18,0.1111111111111111,1.3333333333333333,1.1111111111111112,0.5625,3,2
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C)CSC12)c1csc(N)n1,397.434,2,2,1,521,0.35714285714285715,396.43000000000006,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.5,2,2
C=CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)/C(=N/OCC(=O)[O-])c3csc(N)n3)C2SC1,453.455,2,2,1,522,0.25,451.4420000000002,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.43333333333333335,2,2
