SMILES,ChemBank_Name,GROUP,idCpd,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
Cc1cc(-n2nc3ccc(Cl)cc3n2)c(O)c(C(C)(C)C)c1,ChemDiv3_000001,CC,1,0.29411764705882354,315.80400000000003,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.6818181818181818,2,0
O=C([O-])c1ccccc1C(=O)c1ccc(-c2ccccc2)cc1,ChemDiv3_000002,CC,2,0.0,301.32099999999997,3,18,0,18,18,0.0,1.0,1.0,0.782608695652174,3,0
Cc1ccc(Nc2ccc3ncnc4c3c2C(=O)c2ccccc2-4)cc1,ChemDiv3_000003,CC,3,0.045454545454545456,337.3820000000001,5,30,4,26,23,0.34782608695652173,2.5,1.3043478260869565,0.8846153846153846,2,0
O=C(Nc1ccc(Cl)cc1)c1sc2ccccc2c1Cl,ChemDiv3_000004,CC,4,0.0,322.216,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.75,2,0
CCOC(=O)c1c(-c2ccccc2)c2oc3ccccc3c2[nH]c1=O,ChemDiv3_000005,CC,5,0.1,333.3430000000001,4,23,2,21,19,0.21052631578947367,2.0,1.2105263157894737,0.76,2,0
CN(C)C(=O)C[n+]1ccc(/C=N/O)cc1,ChemDiv3_000006,CC,6,0.3,208.241,1,6,0,6,6,0.0,1.0,1.0,0.4,1,0
CCCC1CCC(c2ccc(C(N)=O)cc2)CC1,ChemDiv3_000007,CC,7,0.5625,245.366,2,12,0,12,12,0.0,1.0,1.0,0.6666666666666666,2,0
c1ccc(C[n+]2ccc(-c3nc4ccccc4s3)cc2)cc1,ChemDiv3_000008,CC,8,0.05263157894736842,303.41,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.9545454545454546,3,0
CCCc1ccc(OC(=O)c2ccc(O)cc2Cl)cc1,ChemDiv3_000009,CC,9,0.1875,290.746,2,12,0,12,12,0.0,1.0,1.0,0.6,2,0
Cc1sc(N)nc1C12CC3CC(CC(C3)C1)C2,ChemDiv3_000010,CC,10,0.7857142857142857,248.39499999999995,5,29,12,17,15,1.6,2.0,1.9333333333333333,0.8823529411764706,2,0
CCn1c([O-])c([CH+]Cc2sc3ccccc3[n+]2CC)sc1=S,ChemDiv3_000011,CC,11,0.3125,349.52600000000007,3,16,1,15,14,0.14285714285714285,1.5,1.1428571428571428,0.6363636363636364,2,0
CC(C)(C)C(=O)C[n+]1ccccc1,ChemDiv3_000012,CC,12,0.45454545454545453,178.25500000000002,1,6,0,6,6,0.0,1.0,1.0,0.46153846153846156,1,0
CN(C)c1ccc(-c2n(C)c3ccccc3[n+]2C)cc1,ChemDiv3_000013,CC,13,0.23529411764705882,266.368,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.75,2,0
O/N=C/c1cc[n+](C/C=C/c2ccccc2)cc1,ChemDiv3_000014,CC,14,0.06666666666666667,239.29800000000003,2,12,0,12,12,0.0,1.0,1.0,0.6666666666666666,2,0
Cc1ccc(S(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1,ChemDiv3_000015,CC,15,0.05263157894736842,308.402,3,18,0,18,18,0.0,1.0,1.0,0.8181818181818182,3,0
c1ccc2cc(OCCN3CCOCC3)ccc2c1,ChemDiv3_000016,CC,16,0.375,257.333,3,18,1,17,16,0.125,1.5,1.125,0.8421052631578947,2,0
N#CC(C#N)=c1ccc(=C(C#N)c2ccc(N3CCCC3)cc2)cc1,ChemDiv3_000017,CC,17,0.19047619047619047,324.3870000000001,3,17,0,17,17,0.0,1.0,1.0,0.68,3,0
CC(C)C[NH+](CC(C)C)Cn1c(=O)oc2ccccc21,ChemDiv3_000018,CC,18,0.5625,277.388,2,11,1,10,9,0.2222222222222222,2.0,1.2222222222222223,0.45,1,0
COc1ccc(/C=N/n2cnnc2)cc1,ChemDiv3_000019,CC,19,0.1,202.21700000000004,2,11,0,11,11,0.0,1.0,1.0,0.7333333333333333,2,0
CC(C)C1CCC(C)C(C(O)c2ccc(-c3ccccc3)cc2)C1=O,ChemDiv3_000020,CC,20,0.43478260869565216,336.4750000000001,3,18,0,18,18,0.0,1.0,1.0,0.72,3,4
CN(C)c1ccc(/C=C/C=C/c2cc[n+](C)cc2)cc1,ChemDiv3_000021,CC,21,0.16666666666666666,265.38,2,12,0,12,12,0.0,1.0,1.0,0.6,2,0
